Location,Name,Rating,Price Per Night
Seattle,Emerald Bay Suites,4.3,189
Miami,Biscayne Beach Resort,4.6,245
Tokyo,Sakura Grand Hotel,4.8,320
Orlando,Sunshine Vista Inn,4.2,165
New York,Manhattan Heights Hotel,4.7,310
San Diego,Pacific Horizon Lodge,4.4,190
Los Angeles,West Coast Luxe Hotel,4.5,275
Anchorage,Northern Lights Retreat,4.3,210
Vancouver,Cascade Harbor Hotel,4.6,230
Chicago,Windy City Grand Tower,4.5,260
Denver,Mile High Comfort Inn,4.1,150
San Francisco,Golden Gate View Hotel,4.7,315
Los Angeles,Ocean Crest Resort,4.6,295
Atlanta,Peachtree Skyline Hotel,4.2,180
Denver,Rocky Mountain Urban Suites,4.4,175
San Diego,Harbor Crest Boutique Hotel,4.8,285
Barcelona,Mediterranean Bliss Hotel,4.7,240
Washington D.C.,Capitol View Luxury Inn,4.6,260
Los Angeles,California Sunset Suites,4.3,250
Miami,Coral Bay Marina Resort,4.5,230
